row,herd,incidence,size,period,obs
1,1,2,14,1,1
2,1,3,12,2,2
3,1,4,9,3,3
4,1,0,5,4,4
5,2,3,22,1,5
6,2,1,18,2,6
7,2,1,21,3,7
8,3,8,22,1,8
9,3,2,16,2,9
10,3,0,16,3,10
11,3,2,20,4,11
12,4,2,10,1,12
13,4,0,10,2,13
14,4,2,9,3,14
15,4,0,6,4,15
16,5,5,18,1,16
17,5,0,25,2,17
18,5,0,24,3,18
19,5,1,4,4,19
20,6,3,17,1,20
21,6,0,17,2,21
22,6,0,18,3,22
23,6,1,20,4,23
24,7,8,16,1,24
25,7,1,10,2,25
26,7,3,9,3,26
27,7,0,5,4,27
28,8,12,34,1,28
29,9,2,9,1,29
30,9,0,6,2,30
31,9,0,8,3,31
32,9,0,6,4,32
33,10,1,22,1,33
34,10,1,22,2,34
35,10,0,18,3,35
36,10,2,22,4,36
37,11,0,25,1,37
38,11,5,27,2,38
39,11,3,22,3,39
40,11,1,22,4,40
41,12,2,10,1,41
42,12,1,8,2,42
43,12,0,6,3,43
44,12,0,5,4,44
45,13,1,21,1,45
46,13,2,24,2,46
47,13,0,19,3,47
48,13,0,23,4,48
49,14,11,19,1,49
50,14,0,2,2,50
51,14,0,3,3,51
52,14,0,2,4,52
53,15,1,19,1,53
54,15,1,15,2,54
55,15,1,15,3,55
56,15,0,15,4,56